Net (#pos, #neg)        (maxRes, minRes)

BAK (2672, 2328) 	(0.6164022639894656, -16.649375270400835)
BLA (4418, 582)		(0.30539601579716696, -238.44841732018378)
FOS (4784, 216)		(0.33026928832799746, -15.544102754036858)
HAN (4, 4996)		(0.07959928724217162, -154.18427155290192)
PES (4889, 111)		(0.6715773421055742, -12.894152498761787)
TLN (2026, 2974)	(0.7335466539880592, -174202.95805144132)
TRN (4996, 4)		(0.6304261328608232, -0.1365811470703154)
MOD (5000, 0)		(0.49562709228449847, 0.1009374098993823)
BAL (69, 4931)		(0.31582165821485636, -14.573426393123183)
