D,Cost,NodeID,MinPressure_m,UNITS_TO_M
100,27.7,1,20,0.001
125,38,2,20,
150,40.5,3,20,
200,55.4,4,20,
250,75,5,20,
300,92.4,6,20,
350,123.1,7,20,
400,141.9,8,20,
450,169.3,9,20,
500,191.5,10,20,
600,246,11,20,
700,319.6,12,20,
800,391.1,13,20,
,,14,20,
,,17,20,
,,18,20,
,,19,20,
,,20,20,
,,21,20,
,,22,20,
,,23,20,
,,24,20,
,,25,20,
,,26,20,
,,27,20,
,,28,20,
,,29,20,
,,30,20,
,,31,20,
,,32,20,
,,33,20,
,,34,20,
,,35,20,
,,36,20,
,,37,20,
,,38,20,
,,39,20,
,,40,20,
,,41,20,
,,42,20,
,,44,20,
,,45,20,
,,46,20,
,,47,20,
,,48,20,
,,49,20,
,,50,20,
,,51,20,
,,52,20,
,,53,20,
,,54,20,
,,55,20,
,,56,20,
,,57,20,
,,58,20,
,,59,20,
,,60,20,
,,61,20,
,,62,20,
,,76,20,
,,82,20,
,,83,20,
,,84,20,
,,85,20,
,,86,20,
,,87,20,
,,88,20,
,,89,20,
,,15,20,
,,43,20,
,,65,20,
